project_name,unit_ref,developer,beds_raw,baths_raw,status,property_type,price_raw,price_amount,price_display_type,price_display_label,price_furnished_raw,price_furnished_amount,price_unfurnished_raw,price_unfurnished_amount,listing_type,size_raw,size_sqft,payment_plan,brochure_url,maps_url,media_url,notes,source,dataset_id,raw_data,details_json
Binghatti Tulip,UNIT 2411,Binghatti,Studio,,VOT,Apartment,"AED 755,000 | AED 735,000",755000,FURNISHED,Furnished,"AED 755,000",755000,"AED 735,000",735000,SALE,304.19 SQFT,304.19,Fully Paid 100%,,,,Location: JVC District 11 - Dubai,MANUAL,,,"{""location"": ""JVC District 11 - Dubai"", ""view"": ""PARK & JVC Community"", ""amenities"": [""Swimming Pool"", ""Kids Play Area"", ""Gymnasium""], ""features"": [""Smart Home"", ""Kitchen Appliances (TEKA Brand)""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Neva Residences (HOT OFFER),UNIT 505,Tiger,1 B/R,2 Bath,Handover Soon,Apartment,"AED 1,110,000",1110000,SINGLE,Price,,,,,SALE,798.14 SQFT,798.14,Fully Paid 100%,,,,Location: JVC District 16 - Dubai | Store Room,MANUAL,,,"{""location"": ""JVC District 16 - Dubai"", ""view"": ""Community View"", ""amenities"": [""BBQ"", ""Gym"", ""Kids Play Area"", ""Pool"", ""Walking Track""], ""features"": [""Kitchen Appliances - Furnished""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
CASA GRANDE,UNIT 105,Al Jadeed Properties,1 B/R,2 Bath,VOT,Apartment,"AED 1,100,000 | AED 1,080,000",1100000,FURNISHED,Furnished,"AED 1,100,000",1100000,"AED 1,080,000",1080000,SALE,1325.25 SQFT,1325.25,Fully Paid 100%,,,,Location: JVC District 11 - Dubai | Close to Circle Mall; HUGE SIZE UNIT,MANUAL,,,"{""location"": ""JVC District 11 - Dubai"", ""view"": ""Community View"", ""amenities"": [""Pool"", ""Gym"", ""Kids Play Area"", ""Park""], ""features"": [""Fully Furnished --- Upgraded""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Binghatti Phoenix,UNIT 221,Binghatti,1 B/R,2 Bath,Vacant,Apartment,"AED 1,365,000",1365000,SINGLE,Price,,,,,SALE,764.88 SQFT,764.88,Fully Paid 100%,,,,Location: JVC District 13 - Dubai,MANUAL,,,"{""location"": ""JVC District 13 - Dubai"", ""view"": ""Amenities & Community View"", ""amenities"": [""Pool"", ""Gym"", ""Kids Play Area"", ""Park""], ""features"": [""TEKA Smart Kitchen Appliances""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Binghatti Gardenia,UNIT 3009,Binghatti,1 B/R,2 Bath,VOT,Apartment,"AED 1,200,000 | AED 1,180,000",1200000,FURNISHED,Furnished,"AED 1,200,000",1200000,"AED 1,180,000",1180000,SALE,649.6 SQFT,649.6,Fully Paid 100%,,,,Location: JVC District 11 - Dubai,MANUAL,,,"{""location"": ""JVC District 11 - Dubai"", ""view"": ""Community View"", ""amenities"": [""Pool"", ""Gym"", ""Kids Play Area"", ""Park""], ""features"": [""Fully Furnished --- TEKA Kitchen Appliances""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Binghatti Apex,UNIT 3308,Binghatti,1 B/R,2 Bath,Handover Soon,Apartment,"AED 1,415,000",1415000,SINGLE,Price,,,,,SALE,839.04 SQFT,839.04,Fully Paid 100%,,,,Location: JVC District 10 - Dubai,MANUAL,,,"{""location"": ""JVC District 10 - Dubai"", ""view"": ""Al Khail, Emirates Hills, JLT & Marina"", ""amenities"": [""Swimming Pool"", ""State-of-the-art Gym"", ""Kids Play Area"", ""Public Park""], ""features"": [""Smart Kitchen Appliances (TEKA Brand)"", ""High Floor""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Binghatti Apex,UNIT 3309,Binghatti,2 B/R,2 Bath,Handover Soon,Apartment,"AED 1,415,000",1415000,SINGLE,Price,,,,,SALE,839.04 SQFT,839.04,Fully Paid 100%,,,,Location: JVC District 10 - Dubai,MANUAL,,,"{""location"": ""JVC District 10 - Dubai"", ""view"": ""Al Khail, Emirates Hills, JLT & Marina --- High Floor"", ""features"": [""Smart Kitchen Appliances (TEKA Brand)"", ""High Floor""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Binghatti Crest (HOT OFFER),UNIT 704,Binghatti,2 B/R + Maid,,VOT,Apartment,"AED 1,440,000 | AED 1,425,000",1440000,FURNISHED,Furnished,"AED 1,440,000",1440000,"AED 1,425,000",1425000,SALE,959.82 SQFT,959.82,Fully Paid 100%,,,,Location: JVC District 13 - Dubai,MANUAL,,,"{""location"": ""JVC District 13 - Dubai"", ""view"": ""Community View"", ""features"": [""Fully Furnished --- Kitchen Appliances"", ""VASTU""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Joya Verde Residence,UNIT 310,Green Yard,"2 B/R, Maid",,Vacant,Apartment,"AED 1,490,000",1490000,SINGLE,Price,,,,,SALE,1494.46 SQFT,1494.46,Fully Paid 100%,,,,Location: JVC District 11 - Dubai,MANUAL,,,"{""location"": ""JVC District 11 - Dubai"", ""view"": ""JVC Community"", ""amenities"": [""Pool"", ""Jacuzzi"", ""Full Gym"", ""Rooftop Garden"", ""Kids Play Area"", ""Sports Courts"", ""BBQ""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
Neva Residences,UNIT 722,Tiger,2 B/R,3 Bath,Handover Soon,Apartment,"AED 1,515,000",1515000,SINGLE,Price,,,,,SALE,1133.55 SQFT,1133.55,Fully Paid 100%,,,,Location: JVC District 16 - Dubai,MANUAL,,,"{""location"": ""JVC District 16 - Dubai"", ""view"": ""Community View"", ""amenities"": [""BBQ"", ""Gym"", ""Kids Play Area"", ""Pool"", ""Walking Track""], ""features"": [""Kitchen Appliances""], ""commission_pct"": 2, ""payment_plan"": ""Fully Paid 100%"", ""media_note"": ""Click to Open Media File""}"
